Timestamp,What is your primary job role/category?,"If comfortable, please specify your exact job title (Optional):",What industry/sector do you work in?,Company size (number of employees),How many years of work experience do you have?,Work arrangement,What type of computer do you primarily use for work?,RAM (Memory) capacity,Processor (CPU) brand,Processor performance tier (if known),"Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):",Number of CPU cores,Processor base speed (GHz),Primary storage type,Total storage capacity,Graphics card (GPU) type,"If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):",Graphics card memory (VRAM),Operating system,Screen size (for laptops/all-in-ones),Do you use multiple monitors?,What software/applications do you use regularly?,What is the typical size of files you work with?,What is your budget for a PC?,Primary work activities,How many hours per day do you use your PC for work?,Do you run multiple applications simultaneously?,Rate the intensity of your typical workload:,Is your current PC sufficient for your work requirements?,What performance issues do you experience?,How often does your PC slow down or struggle during work?,Do you experience power interruptions at your location?,Do you use a UPS or generator?,What type of internet connection do you use for work?,"If you could upgrade your PC, what would you prioritize?",When was your current PC purchased or assigned to you?,PC form factor preference?,Portability requirement?,"Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
2026/02/18 10:05:45 AM GMT+5:30,DevOps Engineer,DevOps Engineer,Information Technology (IT),51-200 (Medium-sized business),4-6 years,Remote/Work from home,Desktop PC (Custom built),64 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5900X,12 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3070,8 GB,Linux (Ubuntu/Debian/etc.),27 inches (external monitor),Dual monitors,"Docker, Kubernetes, Jenkins, Terraform, VS Code, Terminal",Small (Under 10 MB),"Above LKR 300,000","CI/CD, containerization, infrastructure as code",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Never,Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Larger or faster storage (SSD upgrade);Faster CPU/Processor,1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/18 10:10:20 AM GMT+5:30,University/College Student (CS/IT),Software Engineering Undergraduate,Education - University,1000+ (Enterprise),Less than 1 year,On-site (at campus/office),Gaming Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,6 cores,2.7 GHz,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1650,4 GB,Windows 11,15 inches,Single monitor/screen only,"VS Code, Android Studio, IntelliJ IDEA, Chrome, Discord",Medium (10 MB - 100 MB),"LKR 200,000 - 250,000","Coding, game development, assignments",6-8 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Battery drain (for laptops),Occasionally (2-3 times per week),Frequently (3-4 hours/week),Not needed,Fiber broadband (University WiFi),Larger battery (for laptops),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),Good performance but battery life is poor,,
2026/02/18 10:15:35 AM GMT+5:30,QA/Test Engineer,Software Test Engineer,Information Technology (IT),51-200 (Medium-sized business),2-3 years,On-site (at campus/office),Standard Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-1115G4,2 cores,3.0 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 10,14 inches,Dual monitors,"Selenium, JIRA, TestRail, Postman, Chrome, Excel",Small (Under 10 MB),"LKR 150,000 - 200,000","Manual testing, test automation, bug reporting",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),System freezes/lag;Application crashes;Slow boot times,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Faster CPU/Processor;Faster storage (SSD upgrade),2-3 years ago,Windows Laptop,"No, can be stationary",Need better performance for running test automation
2026/02/18 10:20:50 AM GMT+5:30,Database Administrator,Database Administrator,Information Technology (IT),201-500 (Large organization),7-10 years,Hybrid,Desktop PC (Standard),32 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-12700,12 cores,2.1 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows Server/Windows 11,24 inches (external monitor),Dual monitors,"SQL Server Management Studio, Oracle DB, MySQL Workbench, PowerShell",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Database optimization, backups, queries, performance tuning",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Larger or faster storage (SSD upgrade),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/18 10:25:15 AM GMT+5:30,UI/UX Designer,UI/UX Designer,Information Technology (IT),11-50 (Small to medium),2-3 years,Remote/Work from home,MacBook or Mac desktop,16 GB,Apple,"Mid-range (i5, Ryzen 5, M1/M2)",Apple M2,8 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Apple M2 GPU,Shared,macOS,13 inches,Dual monitors,"Figma, Adobe XD, Sketch, Photoshop, Illustrator, Zeplin",Small (Under 10 MB),"Above LKR 300,000","Wireframing, prototyping, user research, design",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Rarely (1-2 hours/month),Not needed,"Fiber broadband (Dialog Fiber, SLT)",Larger or faster storage (SSD upgrade);Larger screen,1-2 years ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/18 10:30:40 AM GMT+5:30,System Administrator,System Administrator,Information Technology (IT),51-200 (Medium-sized business),4-6 years,On-site (at campus/office),Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12400,6 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 730,Shared,Windows 11,22 inches (external monitor),Dual monitors,"Active Directory, PowerShell, VMware, Remote Desktop, monitoring tools",Small (Under 10 MB),"LKR 200,000 - 250,000","Server maintenance, user management, backups",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Frequently (3-4 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Faster CPU/Processor,2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/02/18 10:35:55 AM GMT+5:30,University/College Student (CS/IT),Computer Engineering Undergraduate,Education - University,501-1000 (Large organization),Less than 1 year,Hybrid,Standard Laptop,8 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 5 5500U,6 cores,2.1 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon Graphics,Shared,Windows 11,15 inches,Single monitor/screen only,"VS Code, Arduino IDE, MATLAB, PyCharm, Chrome, MS Teams",Medium (10 MB - 100 MB),"LKR 150,000 - 200,000","Programming, embedded systems, assignments",4-6 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),System freezes/lag;Battery drain (for laptops);Overheating,Occasionally (2-3 times per week),Frequently (3-4 hours/week),Not needed,Fiber broadband (Dialog 4G/5G),More RAM (memory);Faster CPU/Processor;Better cooling,1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),Laptop gets very hot during long coding sessions
2026/02/18 10:40:20 AM GMT+5:30,Technical Lead,Technical Lead,Information Technology (IT),201-500 (Large organization),7-10 years,Hybrid,MacBook or Mac desktop,32 GB,Apple,"High-end (i7, Ryzen 7, M2/M3)",Apple M2 Max,12 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",Apple M2 Max GPU,38 GB,macOS,16 inches,Dual monitors,"VS Code, IntelliJ IDEA, Docker, Jira, Slack, Zoom",Medium (10 MB - 100 MB),"Above LKR 300,000","Code review, architecture design, team mentoring, development",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",No performance issues,Never,Occasionally (1-2 hours/week),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger or faster storage (SSD upgrade),Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/18 10:45:10 AM GMT+5:30,Machine Learning Engineer,AI/ML Engineer,Information Technology (IT),51-200 (Medium-sized business),4-6 years,Remote/Work from home,Desktop PC (Custom built),64 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 7950X,16 cores,4.5 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 4090,24 GB,Windows 11/Linux dual boot,27 inches (external monitor),Dual monitors,"Python, TensorFlow, PyTorch, Jupyter, CUDA, VS Code",Large files (100 MB - 1 GB),"Above LKR 300,000","Model training, data preprocessing, research",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",No performance issues,Never,Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Better graphics card (GPU);Larger or faster storage (SSD upgrade),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",Need high-end GPU for deep learning
2026/02/18 10:50:30 AM GMT+5:30,ERP Consultant,ERP Specialist,Information Technology (IT),201-500 (Large organization),7-10 years,On-site (at client locations),Standard Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i7-1165G7,4 cores,2.8 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,14 inches,Dual monitors,"SAP, Oracle ERP, MS Dynamics, Excel, SQL Server",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","ERP implementation, customization, training",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Frequently (3-4 hours/week),Not always (depends on client site),Fiber broadband (Client network/VPN),Larger battery (for laptops);Lighter/more portable (laptops),2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),"Travel frequently to client sites, need good battery life"
2026/02/18 10:55:45 AM GMT+5:30,Business Analyst,Business Analyst - IT,Information Technology (IT),51-200 (Medium-sized business),2-3 years,Hybrid,Standard Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i5-10210U,4 cores,1.6 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 10,14 inches,Dual monitors,"Jira, Confluence, Excel, PowerPoint, Visio, MS Teams",Small (Under 10 MB),"LKR 150,000 - 200,000","Requirements gathering, documentation, process modeling",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),Slow boot times;System freezes/lag;Application crashes,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);More RAM (memory);Faster CPU/Processor,2-3 years ago,Windows Laptop,"No, can be stationary",Need faster boot and application loading times
2026/02/18 11:00:15 AM GMT+5:30,Web Developer,Frontend Developer,Information Technology (IT),1-10 (Small business/Startup),2-3 years,Remote/Work from home,Gaming Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i7-10750H,6 cores,2.6 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1650 Ti,4 GB,Windows 11,15 inches,Dual monitors,"VS Code, Chrome (many tabs), Figma, Node.js, Git",Small (Under 10 MB),"LKR 200,000 - 250,000","Web development, debugging, testing",6-8 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Battery drain (for laptops);Excessive fan noise,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Not needed,"Fiber broadband (Dialog Fiber, SLT)",More RAM (memory);Larger battery (for laptops),2-3 years ago,Windows Laptop,"No, can be stationary",
2026/02/18 11:05:30 AM GMT+5:30,Cloud Architect,Cloud Solutions Architect,Information Technology (IT),201-500 (Large organization),10+ years,Remote/Work from home,MacBook or Mac desktop,32 GB,Apple,"High-end (i7, Ryzen 7, M2/M3)",Apple M2 Pro,10 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Apple M2 Pro GPU,Shared,macOS,16 inches,Dual monitors,"AWS Console, Azure Portal, Terraform, VS Code, Docker, Kubernetes",Small (Under 10 MB),"Above LKR 300,000","Cloud architecture design, infrastructure planning, cost optimization",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",No performance issues,Never,Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger or faster storage (SSD upgrade);More RAM (memory),Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2026/02/18 11:10:50 AM GMT+5:30,University/College Student (CS/IT),Data Science Undergraduate,Education - University,1000+ (Enterprise),Less than 1 year,On-site (at campus/office),Budget Laptop,4 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Pentium Silver N5030,4 cores,1.1 GHz,HDD (Mechanical hard drive),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 605,Shared,Windows 10,15 inches,Single monitor/screen only,"Chrome, MS Office, Anaconda (struggles), Jupyter (basic)",Small (Under 10 MB),"Under LKR 100,000","Learning Python, data analysis basics, assignments",4-6 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),Slow boot times;System freezes/lag;Application crashes;Overheating,Frequently (multiple times daily),Frequently (3-4 hours/week),Not needed,Mobile broadband (4G/5G dongle),Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade),More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),"Cannot run required data science tools properly, need urgent upgrade"
2026/02/18 11:15:20 AM GMT+5:30,Game Developer,Unity Game Developer,Information Technology (IT),11-50 (Small to medium),2-3 years,Hybrid,Gaming Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 6800H,8 cores,3.2 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060,6 GB,Windows 11,15 inches,Dual monitors,"Unity, Unreal Engine, Blender, VS Code, Photoshop, Git",Large files (100 MB - 1 GB),"Above LKR 300,000","Game development, 3D modeling, testing",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",Excessive fan noise;Battery drain (for laptops),Occasionally (2-3 times per week),Occasionally (1-2 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Better graphics card (GPU);More RAM (memory);Larger or faster storage (SSD upgrade),1-2 years ago,Windows Laptop,"No, can be stationary",
2026/02/18 11:20:35 AM GMT+5:30,IT Instructor/Trainer,Computer Science Lecturer,Education - Private Institute,51-200 (Medium-sized business),4-6 years,On-site (at campus/office),Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400,6 cores,2.6 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 730,Shared,Windows 11,22 inches (external monitor),Single monitor/screen only,"VS Code, IntelliJ IDEA, MS Office, Zoom, OBS, Chrome",Small (Under 10 MB),"LKR 200,000 - 250,000","Teaching, coding demonstrations, content creation",6-8 hours,Frequently (6-10 applications at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",No performance issues,Rarely (once a week or less),Frequently (3-4 hours/week),Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory);Larger or faster storage (SSD upgrade),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
